"","alias","abbr","vote","noOfLgas","lgaCollated","registeredVote","totalVote","slug","updatedAt"
"154","cross_river","PDP",95425,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"155","cross_river","PRP",822,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"156","cross_river","APP",252,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"157","cross_river","BP",414,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"158","cross_river","APGA",618,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"159","cross_river","APM",535,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"160","cross_river","LP",179917,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"161","cross_river","NNPP",1644,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"162","cross_river","NRM",371,18,18,1766466,416968,"507468a9-63f1-4950-9ce4-5ebb5d1c09c6","2023-02-28T21:46:38.073875"
"163","delta","YPP",605,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"164","delta","PRP",342,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"165","delta","SDP",3071,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"166","delta","AAC",357,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"167","delta","APGA",3746,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"168","delta","APC",90183,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"169","delta","AA",229,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"170","delta","APM",1028,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"171","delta","ZLP",3324,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"172","delta","A",979,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"173","delta","ADC",1604,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"174","delta","ADP",788,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"175","delta","APP",493,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"176","delta","BP",1016,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"177","delta","NRM",988,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
